Time,Roll_X(deg),Pitch_Y(deg),Yaw_Z(deg),Altitude(m)
15:14:19.995,25.91,-66.53,217.71,0.0
15:14:19.998,25.91,-66.53,217.71,35.15
15:14:20.110,25.91,-66.53,217.71,35.15
15:14:20.113,25.91,-66.53,217.71,35.15
15:14:20.224,25.91,-66.53,217.71,35.15
15:14:20.227,25.91,-66.53,217.71,35.15
15:14:20.339,25.91,-66.53,217.71,35.15
15:14:20.342,25.91,-66.53,217.71,35.15
15:14:20.454,25.91,-66.53,217.71,35.15
15:14:20.458,25.91,-66.53,217.71,35.15
15:14:20.568,25.91,-66.53,217.71,35.15
15:14:20.571,25.91,-66.53,217.71,35.15
15:14:20.683,25.91,-66.53,217.71,35.15
15:14:20.686,25.91,-66.53,217.71,35.15
15:14:20.798,25.91,-66.53,217.71,35.15
15:14:20.833,25.91,-66.53,217.71,35.15
15:14:20.920,25.91,-66.53,217.71,35.15
15:14:20.947,25.91,-66.53,217.71,35.15
15:14:21.033,25.91,-66.53,217.71,35.15
15:14:21.080,25.91,-66.53,217.71,35.15
15:14:21.147,25.91,-66.53,217.71,35.15
15:14:21.177,25.91,-66.53,217.71,35.15
15:14:21.274,25.91,-66.53,217.71,35.15
15:14:21.285,25.91,-66.53,217.71,35.15
15:14:21.386,25.91,-66.53,217.71,35.15
15:14:21.396,25.91,-66.53,217.71,35.15
15:14:21.499,25.91,-66.53,217.71,35.15
15:14:21.505,25.91,-66.53,217.71,35.15
15:14:21.611,25.91,-66.53,217.71,35.15
15:14:21.625,25.91,-66.53,217.71,35.15
15:14:21.727,25.91,-66.53,217.71,35.15
15:14:21.736,25.91,-66.53,217.71,35.15
15:14:21.833,25.91,-66.53,217.71,35.15
15:14:21.847,25.91,-66.53,217.71,35.15
15:14:21.950,25.91,-66.53,217.71,35.15
15:14:21.965,25.91,-66.53,217.71,35.15
15:14:22.063,25.91,-66.53,217.71,35.15
15:14:22.088,25.91,-66.53,217.71,35.15
15:14:22.194,25.85,-66.47,214.16,35.15
15:14:22.208,25.85,-66.47,214.16,35.16
15:14:22.305,25.85,-66.47,214.16,35.16
15:14:22.318,25.85,-66.47,214.16,35.16
15:14:22.420,25.93,-66.53,213.72,35.16
15:14:22.438,25.93,-66.53,213.72,35.17
15:14:22.523,25.93,-66.53,213.72,35.17
15:14:22.551,25.93,-66.53,213.72,35.17
15:14:22.634,25.93,-66.46,213.37,35.17
15:14:22.664,25.93,-66.46,213.37,35.17
15:14:22.761,25.93,-66.46,213.37,35.17
15:14:22.767,25.93,-66.46,213.37,35.17
15:14:22.869,25.89,-66.55,213.04,35.17
15:14:22.900,25.89,-66.55,213.04,35.17
15:14:22.984,25.92,-66.52,212.84,35.17
15:14:22.990,25.92,-66.52,212.84,35.17
15:14:23.097,25.89,-66.51,212.68,35.17
15:14:23.116,25.89,-66.51,212.68,35.17
15:14:23.218,25.89,-66.51,212.68,35.17
15:14:23.229,25.89,-66.51,212.68,35.17
15:14:23.337,25.93,-66.5,212.28,35.17
15:14:23.363,25.93,-66.5,212.28,35.17
15:14:23.448,25.93,-66.5,212.28,35.17
15:14:23.481,25.93,-66.5,212.28,35.17
15:14:23.566,25.89,-66.51,211.96,35.17
15:14:23.577,25.89,-66.51,211.96,35.17
15:14:23.680,25.78,-66.48,211.87,35.17
15:14:23.690,25.78,-66.48,211.87,35.17
15:14:23.795,25.8,-66.48,211.67,35.17
15:14:23.826,25.8,-66.48,211.67,35.17
15:14:23.903,25.9,-66.49,211.41,35.17
15:14:23.914,25.9,-66.49,211.41,35.17
15:14:24.023,25.94,-66.51,211.19,35.17
15:14:24.033,25.94,-66.51,211.19,35.17
15:14:24.130,25.84,-66.52,211.1,35.17
15:14:24.149,25.84,-66.52,211.1,35.17
15:14:24.258,25.84,-66.52,211.1,35.17
15:14:24.284,25.84,-66.52,211.1,35.17
15:14:24.381,25.9,-66.48,210.69,35.17
15:14:24.413,25.9,-66.48,210.69,35.17
15:14:24.491,25.86,-66.5,210.54,35.17
15:14:24.514,25.86,-66.5,210.54,35.17
15:14:24.602,25.86,-66.5,210.54,35.17
15:14:24.608,25.86,-66.5,210.54,35.17
15:14:24.715,25.86,-66.5,210.54,35.17
15:14:24.754,25.86,-66.5,210.54,35.17
15:14:24.812,25.86,-66.5,210.54,35.17
15:14:24.848,25.86,-66.5,210.54,35.17
15:14:24.951,25.88,-66.48,209.8,35.17
15:14:24.979,25.88,-66.48,209.8,35.17
15:14:25.070,25.89,-66.5,209.61,35.17
15:14:25.079,25.89,-66.5,209.61,35.17
15:14:25.179,25.89,-66.49,209.43,35.17
15:14:25.207,25.89,-66.49,209.43,35.18
15:14:25.292,25.95,-66.51,209.19,35.18
15:14:25.325,25.95,-66.51,209.19,35.18
15:14:25.401,25.95,-66.51,209.19,35.18
15:14:25.433,25.95,-66.51,209.19,35.18
15:14:25.520,25.96,-66.57,208.82,35.18
15:14:25.548,25.96,-66.57,208.82,35.18
15:14:25.638,26.04,-66.57,208.57,35.18
15:14:25.662,26.04,-66.57,208.57,35.19
15:14:25.760,26.04,-66.57,208.57,35.19
15:14:25.766,26.04,-66.57,208.57,35.19
15:14:25.875,25.82,-66.48,208.41,35.19
15:14:25.881,25.82,-66.48,208.41,35.19
15:14:25.987,25.93,-66.47,208.13,35.19
15:14:26.002,25.93,-66.47,208.13,35.19
15:14:26.103,25.86,-66.48,208.01,35.19
15:14:26.116,25.86,-66.48,208.01,35.19
15:14:26.190,25.93,-66.52,207.77,35.19
15:14:26.224,25.93,-66.52,207.77,35.2
15:14:26.306,25.94,-66.49,207.57,35.2
15:14:26.340,25.94,-66.49,207.57,35.2
15:14:26.418,25.88,-66.53,207.44,35.2
15:14:26.451,25.88,-66.53,207.44,35.2
15:14:26.557,25.87,-66.46,207.27,35.2
15:14:26.567,25.87,-66.46,207.27,35.2
15:14:26.671,25.95,-66.48,207.02,35.2
15:14:26.682,25.95,-66.48,207.02,35.2
15:14:26.778,25.86,-66.51,206.93,35.2
15:14:26.790,25.86,-66.51,206.93,35.21
15:14:26.895,25.86,-66.51,206.93,35.21
15:14:26.904,25.86,-66.51,206.93,35.21
15:14:27.014,25.83,-66.51,206.59,35.21
15:14:27.020,25.83,-66.51,206.59,35.21
15:14:27.129,25.83,-66.51,206.59,35.21
15:14:27.134,25.83,-66.51,206.59,35.21
