Time,Roll_X(deg),Pitch_Y(deg),Yaw_Z(deg),Altitude(m)
15:05:09.268,28.27,-65.91,358.76,0.0
15:05:09.271,28.27,-65.91,358.76,37.27
15:05:09.377,29.2,-65.93,357.59,37.27
15:05:09.389,29.2,-65.93,357.59,37.26
15:05:09.488,28.94,-65.81,357.65,37.26
15:05:09.492,28.94,-65.81,357.65,37.26
15:05:09.601,28.44,-66.08,358.01,37.26
15:05:09.606,28.44,-66.08,358.01,37.26
15:05:09.712,29.12,-65.87,357.39,37.26
15:05:09.715,29.12,-65.87,357.39,37.26
15:05:09.825,30.02,-66.17,356.59,37.26
15:05:09.828,30.02,-66.17,356.59,37.26
15:05:09.941,30.07,-65.38,356.49,37.26
15:05:09.944,30.07,-65.38,356.49,37.26
15:05:10.062,29.47,-65.74,357.03,37.26
15:05:10.066,29.47,-65.74,357.03,37.26
15:05:10.173,28.51,-65.69,358.63,37.26
15:05:10.182,28.51,-65.69,358.63,37.25
15:05:10.284,28.51,-65.69,358.63,37.25
15:05:10.287,28.51,-65.69,358.63,37.25
15:05:10.400,32.9,-67.17,355.62,37.25
15:05:10.404,32.9,-67.17,355.62,37.25
15:05:10.521,32.39,-67.35,355.57,37.25
15:05:10.525,32.39,-67.35,355.57,37.24
15:05:10.634,31.27,-66.82,355.91,37.24
15:05:10.644,31.27,-66.82,355.91,37.24
15:05:10.746,31.64,-66.9,355.46,37.24
15:05:10.759,31.64,-66.9,355.46,37.23
15:05:10.866,30.36,-65.83,356.56,37.23
15:05:10.881,30.36,-65.83,356.56,37.23
15:05:10.977,-1.55,-0.67,1.06,0.0
15:05:10.989,-1.55,-0.67,1.06,-0.01
15:05:11.100,-0.93,0.32,0.09,-0.01
15:05:11.114,-0.93,0.32,0.09,-0.01
15:05:11.213,-0.08,-0.44,-1.17,-0.01
15:05:11.227,-0.08,-0.44,-1.17,-0.02
15:05:11.328,-0.08,-0.44,-1.17,-0.02
15:05:11.341,-0.08,-0.44,-1.17,-0.02
15:05:11.443,1.36,1.05,-3.08,-0.02
15:05:11.451,1.36,1.05,-3.08,-0.03
15:05:11.563,4.22,1.27,-6.18,-0.03
15:05:11.575,4.22,1.27,-6.18,-0.03
15:05:11.672,4.22,1.27,-6.18,-0.03
15:05:11.684,4.22,1.27,-6.18,-0.03
15:05:11.793,0.2,0.04,-4.49,-0.03
15:05:11.802,0.2,0.04,-4.49,-0.04
15:05:11.908,-4.43,0.3,-0.9,-0.04
15:05:11.919,-4.43,0.3,-0.9,-0.05
15:05:12.006,-4.43,0.3,-0.9,-0.05
15:05:12.030,-4.43,0.3,-0.9,-0.05
15:05:12.137,-7.2,0.44,1.61,-0.05
15:05:12.150,-7.2,0.44,1.61,-0.06
15:05:12.238,-5.8,0.46,0.71,-0.06
15:05:12.262,-5.8,0.46,0.71,-0.07
15:05:12.350,-2.43,-0.73,-1.92,-0.07
15:05:12.376,-2.43,-0.73,-1.92,-0.07
15:05:12.471,0.46,-1.14,-4.57,-0.07
15:05:12.477,0.46,-1.14,-4.57,-0.08
15:05:12.584,2.12,-0.85,-6.61,-0.08
15:05:12.592,2.12,-0.85,-6.61,-0.08
15:05:12.702,0.73,-0.93,-5.7,-0.08
15:05:12.711,0.73,-0.93,-5.7,-0.08
15:05:12.820,-0.57,-0.58,-4.72,-0.08
15:05:12.829,-0.57,-0.58,-4.72,-0.08
15:05:12.926,-1.45,0.24,-3.98,-0.08
15:05:12.940,-1.45,0.24,-3.98,-0.08
15:05:13.043,-1.45,0.24,-3.98,-0.08
15:05:13.052,-1.45,0.24,-3.98,-0.08
15:05:13.156,-0.72,0.6,-4.48,-0.08
15:05:13.180,-0.72,0.6,-4.48,-0.09
