Time,Roll_X(deg),Pitch_Y(deg),Yaw_Z(deg),Altitude(m)
14:57:10.543,25.95,-66.5,75.5,0.0
14:57:10.546,25.95,-66.5,75.5,34.44
14:57:10.673,25.95,-66.5,75.5,34.44
14:57:10.684,25.95,-66.5,75.5,34.44
14:57:10.787,25.95,-66.5,75.5,34.44
14:57:10.801,25.95,-66.5,75.5,34.44
14:57:10.899,25.95,-66.5,75.5,34.44
14:57:10.912,25.95,-66.5,75.5,34.44
14:57:11.010,25.95,-66.5,75.5,34.44
14:57:11.022,25.95,-66.5,75.5,34.44
14:57:11.126,25.95,-66.5,75.5,34.44
14:57:11.139,25.95,-66.5,75.5,34.44
14:57:11.245,0.0,0.0,0.0,0.0
14:57:11.256,0.0,0.0,0.0,0.0
14:57:11.357,0.0,0.0,0.0,0.0
14:57:11.368,0.0,0.0,0.0,0.0
14:57:11.478,0.0,0.0,0.0,0.0
14:57:11.488,0.0,0.0,0.0,0.0
14:57:11.597,0.0,0.0,0.0,0.0
14:57:11.607,0.0,0.0,0.0,0.0
14:57:11.706,0.0,0.0,0.0,0.0
14:57:11.715,0.0,0.0,0.0,0.0
14:57:11.815,0.0,0.0,0.0,0.0
14:57:11.827,0.0,0.0,0.0,0.0
14:57:11.931,0.0,0.0,0.0,0.0
14:57:11.942,0.0,0.0,0.0,0.0
14:57:12.048,0.0,0.0,0.0,0.0
14:57:12.059,0.0,0.0,0.0,0.0
14:57:12.159,0.0,0.0,0.0,0.0
14:57:12.172,0.0,0.0,0.0,0.0
14:57:12.280,0.0,0.0,0.0,0.0
14:57:12.297,0.0,0.0,0.0,0.0
14:57:12.391,0.0,0.0,0.0,0.0
14:57:12.404,0.0,0.0,0.0,0.0
14:57:12.505,0.0,0.0,0.0,0.0
14:57:12.519,0.0,0.0,0.0,0.0
14:57:12.621,0.0,0.0,0.0,0.0
14:57:12.633,0.0,0.0,0.0,0.0
14:57:12.734,0.0,0.0,0.0,0.0
14:57:12.742,0.0,0.0,0.0,0.0
14:57:12.848,0.0,0.0,0.0,0.0
14:57:12.859,0.0,0.0,0.0,0.0
14:57:12.959,0.0,0.0,0.0,0.0
14:57:12.970,0.0,0.0,0.0,0.0
14:57:13.081,0.0,0.0,0.0,0.0
14:57:13.091,0.0,0.0,0.0,0.0
14:57:13.192,0.0,0.0,0.0,0.0
14:57:13.202,0.0,0.0,0.0,0.0
14:57:13.308,0.0,0.0,0.0,0.0
14:57:13.322,0.0,0.0,0.0,0.0
14:57:13.431,-0.12,-0.05,-4.72,0.0
14:57:13.442,-0.12,-0.05,-4.72,0.07
14:57:13.545,-0.12,-0.05,-4.72,0.07
14:57:13.557,-0.12,-0.05,-4.72,0.07
14:57:13.661,-0.12,-0.05,-4.72,0.07
14:57:13.672,-0.12,-0.05,-4.72,0.07
14:57:13.786,-0.12,-0.05,-4.72,0.07
14:57:13.797,-0.12,-0.05,-4.72,0.07
14:57:13.868,-0.12,-0.05,-4.72,0.07
14:57:13.899,-0.12,-0.05,-4.72,0.07
14:57:14.012,-0.12,-0.05,-4.72,0.07
14:57:14.025,-0.12,-0.05,-4.72,0.07
14:57:14.124,-0.12,-0.05,-4.72,0.07
14:57:14.138,-0.12,-0.05,-4.72,0.07
14:57:14.239,-0.12,-0.05,-4.72,0.07
14:57:14.251,-0.12,-0.05,-4.72,0.07
14:57:14.349,-0.36,-0.13,-5.94,0.07
14:57:14.361,-0.36,-0.13,-5.94,0.11
14:57:14.464,-0.36,-0.13,-5.94,0.11
14:57:14.474,-0.36,-0.13,-5.94,0.11
14:57:14.575,-0.36,-0.13,-5.94,0.11
14:57:14.589,-0.36,-0.13,-5.94,0.11
14:57:14.691,-0.36,-0.13,-5.94,0.11
14:57:14.705,-0.36,-0.13,-5.94,0.11
14:57:14.811,-0.36,-0.13,-5.94,0.11
14:57:14.821,-0.36,-0.13,-5.94,0.11
14:57:14.928,-0.12,0.05,-7.05,0.11
14:57:14.938,-0.12,0.05,-7.05,0.12
14:57:15.044,-0.12,0.05,-7.05,0.12
14:57:15.052,-0.12,0.05,-7.05,0.12
14:57:15.155,-0.06,0.01,-7.47,0.12
14:57:15.165,-0.06,0.01,-7.47,0.13
14:57:15.244,-0.06,0.01,-7.47,0.13
14:57:15.277,-0.06,0.01,-7.47,0.13
14:57:15.395,0.03,-0.02,-7.92,0.13
14:57:15.403,0.03,-0.02,-7.92,0.13
14:57:15.505,0.03,-0.02,-7.92,0.13
14:57:15.514,0.03,-0.02,-7.92,0.13
14:57:15.614,0.03,-0.02,-7.92,0.13
14:57:15.625,0.03,-0.02,-7.92,0.13
14:57:15.727,0.03,-0.02,-7.92,0.13
14:57:15.736,0.03,-0.02,-7.92,0.13
14:57:15.838,0.03,-0.02,-7.92,0.13
14:57:15.849,0.03,-0.02,-7.92,0.13
14:57:15.932,-0.01,0.04,-8.76,0.13
14:57:15.967,-0.01,0.04,-8.76,0.13
14:57:16.072,-0.01,0.04,-8.76,0.13
14:57:16.084,-0.01,0.04,-8.76,0.13
14:57:16.193,-0.01,0.04,-8.76,0.13
14:57:16.203,-0.01,0.04,-8.76,0.13
14:57:16.302,-0.01,0.04,-8.76,0.13
14:57:16.313,-0.01,0.04,-8.76,0.13
14:57:16.417,-0.01,0.04,-8.76,0.13
14:57:16.426,-0.01,0.04,-8.76,0.13
14:57:16.530,-0.08,0.01,-9.59,0.13
14:57:16.539,-0.08,0.01,-9.59,0.14
14:57:16.646,-0.08,0.01,-9.59,0.14
14:57:16.655,-0.08,0.01,-9.59,0.14
14:57:16.760,-0.06,-0.05,-9.97,0.14
14:57:16.769,-0.06,-0.05,-9.97,0.14
14:57:16.881,-0.06,-0.05,-9.97,0.14
14:57:16.891,-0.06,-0.05,-9.97,0.14
14:57:16.990,-0.06,-0.05,-9.97,0.14
14:57:16.999,-0.06,-0.05,-9.97,0.14
14:57:17.101,-0.16,-0.09,-10.42,0.14
14:57:17.108,-0.16,-0.09,-10.42,0.14
14:57:17.213,-0.16,-0.09,-10.42,0.14
14:57:17.222,-0.16,-0.09,-10.42,0.14
14:57:17.329,-0.16,-0.09,-10.42,0.14
14:57:17.338,-0.16,-0.09,-10.42,0.14
14:57:17.447,-0.16,-0.09,-10.42,0.14
14:57:17.457,-0.16,-0.09,-10.42,0.14
14:57:17.561,-0.02,0.06,-11.25,0.14
14:57:17.570,-0.02,0.06,-11.25,0.15
14:57:17.680,-0.02,0.06,-11.25,0.15
14:57:17.690,-0.02,0.06,-11.25,0.15
14:57:17.767,-0.02,0.06,-11.25,0.15
14:57:17.806,-0.02,0.06,-11.25,0.15
14:57:17.910,-0.25,-0.08,-11.58,0.15
14:57:17.920,-0.25,-0.08,-11.58,0.14
14:57:17.997,-0.25,-0.08,-11.58,0.14
14:57:18.000,-0.25,-0.08,-11.58,0.14
14:57:18.111,-0.25,-0.08,-11.58,0.14
14:57:18.114,-0.25,-0.08,-11.58,0.14
14:57:18.226,-0.25,-0.08,-11.58,0.14
14:57:18.229,-0.25,-0.08,-11.58,0.14
14:57:18.341,-0.25,-0.08,-11.58,0.14
14:57:18.344,-0.25,-0.08,-11.58,0.14
14:57:18.455,-0.04,0.0,-12.66,0.14
14:57:18.458,-0.04,0.0,-12.66,0.14
14:57:18.570,-0.04,0.0,-12.66,0.14
14:57:18.573,-0.04,0.0,-12.66,0.14
14:57:18.685,-0.04,0.0,-12.66,0.14
14:57:18.688,-0.04,0.0,-12.66,0.14
14:57:18.799,-0.04,0.0,-12.66,0.14
14:57:18.802,-0.04,0.0,-12.66,0.14
14:57:18.914,-0.04,0.0,-12.66,0.14
14:57:18.917,-0.04,0.0,-12.66,0.14
14:57:19.029,-0.04,0.0,-12.66,0.14
14:57:19.032,-0.04,0.0,-12.66,0.14
14:57:19.143,-0.04,0.0,-12.66,0.14
14:57:19.146,-0.04,0.0,-12.66,0.14
14:57:19.258,-0.04,0.0,-12.66,0.14
14:57:19.261,-0.04,0.0,-12.66,0.14
14:57:19.373,-0.04,0.0,-12.66,0.14
14:57:19.375,-0.04,0.0,-12.66,0.14
14:57:19.487,-0.04,0.0,-12.66,0.14
14:57:19.490,-0.04,0.0,-12.66,0.14
14:57:19.602,-0.04,0.0,-12.66,0.14
14:57:19.605,-0.04,0.0,-12.66,0.14
14:57:19.717,-0.04,0.0,-12.66,0.14
14:57:19.719,-0.04,0.0,-12.66,0.14
14:57:19.831,-0.04,0.0,-12.66,0.14
14:57:19.834,-0.04,0.0,-12.66,0.14
14:57:19.946,-0.06,0.0,-14.98,0.14
14:57:19.949,-0.06,0.0,-14.98,0.12
14:57:20.061,-0.06,0.0,-14.98,0.12
14:57:20.064,-0.06,0.0,-14.98,0.12
14:57:20.177,-0.06,0.0,-14.98,0.12
14:57:20.180,-0.06,0.0,-14.98,0.12
14:57:20.290,-0.06,0.0,-14.98,0.12
14:57:20.293,-0.06,0.0,-14.98,0.12
14:57:20.405,-0.06,0.0,-14.98,0.12
14:57:20.407,-0.06,0.0,-14.98,0.12
14:57:20.519,-0.06,0.0,-14.98,0.12
14:57:20.522,-0.06,0.0,-14.98,0.12
14:57:20.637,-0.06,0.0,-14.98,0.12
14:57:20.641,-0.06,0.0,-14.98,0.12
14:57:20.749,-0.02,0.01,-16.26,0.12
14:57:20.751,-0.02,0.01,-16.26,0.11
14:57:20.879,-0.02,0.01,-16.26,0.11
14:57:20.887,-0.02,0.01,-16.26,0.11
14:57:20.982,0.0,0.01,-16.65,0.11
14:57:20.986,0.0,0.01,-16.65,0.11
14:57:21.094,0.0,0.01,-16.65,0.11
14:57:21.096,0.0,0.01,-16.65,0.11
14:57:21.209,0.0,0.01,-16.65,0.11
14:57:21.216,0.0,0.01,-16.65,0.11
14:57:21.323,0.0,0.01,-16.65,0.11
14:57:21.326,0.0,0.01,-16.65,0.11
14:57:21.438,0.0,0.01,-16.65,0.11
14:57:21.440,0.0,0.01,-16.65,0.11
14:57:21.551,0.0,0.01,-16.65,0.11
14:57:21.554,0.0,0.01,-16.65,0.11
14:57:21.666,0.0,0.01,-16.65,0.11
14:57:21.669,0.0,0.01,-16.65,0.11
14:57:21.781,0.0,0.01,-16.65,0.11
14:57:21.783,0.0,0.01,-16.65,0.11
14:57:21.895,0.0,0.01,-16.65,0.11
14:57:21.898,0.0,0.01,-16.65,0.11
14:57:22.012,0.0,0.01,-16.65,0.11
14:57:22.016,0.0,0.01,-16.65,0.11
14:57:22.129,0.0,0.01,-16.65,0.11
14:57:22.136,0.0,0.01,-16.65,0.11
14:57:22.243,0.0,0.01,-16.65,0.11
14:57:22.251,0.0,0.01,-16.65,0.11
14:57:22.359,0.0,0.01,-16.65,0.11
14:57:22.368,0.0,0.01,-16.65,0.11
14:57:22.474,0.0,0.01,-16.65,0.11
14:57:22.483,0.0,0.01,-16.65,0.11
14:57:22.588,0.0,0.01,-16.65,0.11
14:57:22.598,0.0,0.01,-16.65,0.11
14:57:22.702,0.0,0.01,-16.65,0.11
14:57:22.711,0.0,0.01,-16.65,0.11
14:57:22.815,0.0,0.01,-16.65,0.11
14:57:22.822,0.0,0.01,-16.65,0.11
14:57:22.929,0.0,0.01,-16.65,0.11
14:57:22.933,0.0,0.01,-16.65,0.11
14:57:23.043,0.0,0.01,-16.65,0.11
14:57:23.046,0.0,0.01,-16.65,0.11
14:57:23.158,0.0,0.01,-16.65,0.11
14:57:23.161,0.0,0.01,-16.65,0.11
14:57:23.271,0.0,0.01,-16.65,0.11
14:57:23.274,0.0,0.01,-16.65,0.11
14:57:23.386,0.0,0.01,-16.65,0.11
14:57:23.389,0.0,0.01,-16.65,0.11
14:57:23.501,0.0,0.01,-16.65,0.11
14:57:23.503,0.0,0.01,-16.65,0.11
14:57:23.615,0.0,0.01,-16.65,0.11
14:57:23.619,0.0,0.01,-16.65,0.11
14:57:23.730,0.0,0.01,-16.65,0.11
14:57:23.733,0.0,0.01,-16.65,0.11
14:57:23.845,-0.13,-0.06,-20.84,0.11
14:57:23.848,-0.13,-0.06,-20.84,-0.03
14:57:23.959,-0.1,0.0,-21.04,-0.03
14:57:23.962,-0.1,0.0,-21.04,-0.04
14:57:24.075,-0.1,0.0,-21.04,-0.04
14:57:24.079,-0.1,0.0,-21.04,-0.04
14:57:24.191,-0.1,0.0,-21.04,-0.04
14:57:24.196,-0.1,0.0,-21.04,-0.04
14:57:24.305,-0.1,0.0,-21.04,-0.04
14:57:24.309,-0.1,0.0,-21.04,-0.04
14:57:24.419,-0.1,0.0,-21.04,-0.04
14:57:24.423,-0.1,0.0,-21.04,-0.04
